Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"CROP TOTALS - INDEX FOR PRICE RECEIVED, 2011  -  <b>VALUE</b>","CROP TOTALS - INDEX FOR PRICE RECEIVED, 2011  -  <b>CV (%)</b>","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>"
SURVEY,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,123.3,,,
SURVEY,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,114.4,,,
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,100.4,,"205,262,982,000",
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,84.8,,"173,174,532,000",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,85.8,,"184,671,547,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,86.2,,"187,871,601,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,85.5,,"185,945,409,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,87,,"179,295,311,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,92.3,,"195,281,436,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,105.7,,"210,553,592,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,107,,"223,867,206,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,100,,"211,359,330,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,87,,"191,098,825,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,85.7,,"158,641,034,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,95.9,,"168,375,568,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,81,,"166,105,717,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,68,,,
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,62.6,,,
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,65.5,,,
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,62.8,,,
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,59.7,,,
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,56.4,,,
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,54.4,,,
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,54.9,,,
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,60.6,,,
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,65.5,,,
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,71.9,,,
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,63.7,,,
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,59.9,,,
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,58.2,,,
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,57.3,,,
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,57.1,,,
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CROP TOTALS,TOTAL,NOT SPECIFIED,58.5,,,